Local matrix size       = 1.9353 GiBs
Total device memory use = 2.2493 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
 72.4% | 000032640 |    0.0060651  |          | 4.159e+04|          |            |            |  5.848e-03 | 0.000e+00 |   1.666e-05  |  2.013e+04  |    5.931e+04   
 73.3% | 000033024 |    0.0081955  |          | 4.017e+04|          |            |            |  7.970e-03 | 0.000e+00 |   1.784e-05  |  1.400e+04  |    5.894e+04   
 74.1% | 000033408 |    0.0078091  |          | 3.876e+04|          |            |            |  7.578e-03 | 0.000e+00 |   1.888e-05  |  1.379e+04  |    5.860e+04   
 75.0% | 000033792 |    0.0080779  | 3.033e+04| 4.148e+04|          |  6.634e-03 |  1.704e-04 |  8.194e-04 | 0.000e+00 |   1.721e-05  |  1.248e+04  |    5.823e+04   
 75.9% | 000034176 |    0.0082957  |          | 3.597e+04|          |            |            |  8.027e-03 | 0.000e+00 |   1.969e-05  |  1.135e+04  |    5.786e+04   
 76.7% | 000034560 |    0.0082111  |          | 3.253e+04|          |            |            |  7.943e-03 | 0.000e+00 |   1.924e-05  |  1.069e+04  |    5.749e+04   
 77.6% | 000034944 |    0.0081436  |          | 3.929e+04|          |            |            |  7.955e-03 | 0.000e+00 |   1.771e-05  |  1.001e+04  |    5.712e+04   
 78.4% | 000035328 |    0.0075432  |          | 3.478e+04|          |            |            |  7.319e-03 | 0.000e+00 |   1.718e-05  |  1.002e+04  |    5.679e+04   
 79.3% | 000035712 |    0.0075761  |          | 3.773e+04|          |            |            |  7.380e-03 | 0.000e+00 |   1.690e-05  |  9.219e+03  |    5.645e+04   
 80.1% | 000036096 |    0.0091369  |          | 2.904e+04|          |            |            |  8.874e-03 | 0.000e+00 |   1.996e-05  |  7.041e+03  |    5.603e+04   
 81.0% | 000036480 |    0.0103015  |          | 3.278e+04|          |            |            |  1.004e-02 | 0.000e+00 |   2.026e-05  |  5.732e+03  |    5.556e+04   
 81.8% | 000036864 |    0.0077153  | 3.754e+04| 3.942e+04|          |  6.594e-03 |  1.712e-04 |  6.000e-04 | 0.000e+00 |   1.967e-05  |  6.998e+03  |    5.522e+04   
 82.7% | 000037248 |    0.0079212  |          | 3.281e+04|          |            |            |  7.636e-03 | 0.000e+00 |   1.929e-05  |  6.206e+03  |    5.486e+04   
 83.5% | 000037632 |    0.0079077  |          | 3.569e+04|          |            |            |  7.720e-03 | 0.000e+00 |   1.857e-05  |  5.634e+03  |    5.451e+04   
